               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.028287,           0.0022923,                   0,             0.99997,                   1,               0.995,             0.93176,           0.0068156,          0.00084671,                   0,           0.0021279,           0.0021279,           0.0021279
                 129,            0.026714,           0.0022188,                   0,                   1,                   1,               0.995,              0.8858,            0.008841,          0.00084424,                   0,           0.0021135,           0.0021135,           0.0021135
                 130,            0.027422,           0.0022527,                   0,             0.99993,                   1,               0.995,             0.93522,           0.0065377,          0.00085227,                   0,           0.0020991,           0.0020991,           0.0020991
                 131,            0.031304,           0.0022473,                   0,             0.99998,                   1,               0.995,             0.89563,           0.0080875,           0.0008507,                   0,           0.0020847,           0.0020847,           0.0020847
                 132,            0.030031,           0.0022411,                   0,              0.9998,                   1,               0.995,             0.92802,            0.006698,          0.00082562,                   0,           0.0020703,           0.0020703,           0.0020703
                 133,            0.024564,           0.0023025,                   0,             0.99999,                   1,               0.995,             0.91661,           0.0077127,          0.00083436,                   0,           0.0020558,           0.0020558,           0.0020558
                 134,            0.026944,           0.0022536,                   0,             0.99997,                   1,               0.995,             0.91893,           0.0067679,          0.00084525,                   0,           0.0020413,           0.0020413,           0.0020413
                 135,            0.027735,           0.0021326,                   0,             0.99999,                   1,               0.995,             0.91292,           0.0069791,          0.00077667,                   0,           0.0020268,           0.0020268,           0.0020268
                 136,            0.026881,           0.0021441,                   0,             0.99496,                   1,             0.99379,             0.92227,           0.0075995,          0.00086076,                   0,           0.0020123,           0.0020123,           0.0020123
                 137,            0.028011,           0.0022662,                   0,                   1,             0.99995,               0.995,             0.87139,           0.0094924,          0.00083164,                   0,           0.0019977,           0.0019977,           0.0019977
                 138,             0.02943,           0.0022122,                   0,             0.96923,             0.95439,             0.97225,             0.81856,            0.011839,          0.00091049,                   0,           0.0019831,           0.0019831,           0.0019831
                 139,            0.028406,           0.0021587,                   0,             0.99495,                   1,               0.995,             0.87814,           0.0084962,          0.00083607,                   0,           0.0019685,           0.0019685,           0.0019685
                 140,            0.028284,           0.0020496,                   0,             0.99979,                   1,               0.995,             0.91719,           0.0075003,          0.00079561,                   0,           0.0019538,           0.0019538,           0.0019538
                 141,            0.025847,           0.0021641,                   0,             0.99497,                   1,             0.99329,             0.92075,           0.0069076,          0.00077387,                   0,           0.0019392,           0.0019392,           0.0019392
                 142,            0.027541,           0.0021067,                   0,             0.99497,                   1,             0.99495,             0.88989,            0.008157,          0.00077749,                   0,           0.0019245,           0.0019245,           0.0019245
                 143,            0.027974,           0.0020191,                   0,             0.99999,                   1,               0.995,             0.88559,           0.0081429,            0.000753,                   0,           0.0019098,           0.0019098,           0.0019098
                 144,            0.027162,           0.0020179,                   0,                   1,                   1,               0.995,             0.87426,           0.0095283,          0.00076787,                   0,           0.0018951,           0.0018951,           0.0018951
                 145,            0.026183,           0.0020001,                   0,             0.99999,                   1,               0.995,             0.90164,           0.0081399,           0.0007443,                   0,           0.0018804,           0.0018804,           0.0018804
                 146,            0.028124,           0.0020193,                   0,             0.99998,                   1,               0.995,             0.90666,           0.0078441,          0.00074509,                   0,           0.0018657,           0.0018657,           0.0018657
                 147,            0.025242,           0.0020068,                   0,             0.99497,                   1,               0.995,             0.92258,           0.0068282,          0.00069495,                   0,            0.001851,            0.001851,            0.001851
                 148,            0.025314,           0.0020169,                   0,             0.99999,                   1,               0.995,             0.92037,           0.0069512,          0.00070233,                   0,           0.0018362,           0.0018362,           0.0018362
                 149,            0.026105,           0.0021191,                   0,             0.99994,                   1,               0.995,             0.93773,           0.0066225,          0.00070319,                   0,           0.0018215,           0.0018215,           0.0018215
                 150,            0.026074,           0.0020023,                   0,             0.99998,                   1,               0.995,             0.93451,            0.006474,          0.00069374,                   0,           0.0018067,           0.0018067,           0.0018067
                 151,            0.025319,            0.001958,                   0,             0.99997,                   1,               0.995,               0.898,           0.0078631,           0.0007202,                   0,            0.001792,            0.001792,            0.001792
                 152,            0.026251,           0.0020127,                   0,             0.99999,                   1,               0.995,             0.91996,           0.0068267,          0.00068934,                   0,           0.0017773,           0.0017773,           0.0017773
                 153,            0.024463,           0.0019612,                   0,             0.99999,                   1,               0.995,              0.9304,           0.0064316,          0.00068435,                   0,           0.0017625,           0.0017625,           0.0017625
                 154,            0.025208,           0.0019351,                   0,             0.99999,                   1,               0.995,             0.92992,           0.0064857,          0.00067783,                   0,           0.0017478,           0.0017478,           0.0017478
                 155,            0.024852,            0.001964,                   0,                   1,                   1,               0.995,             0.93964,           0.0063137,          0.00068856,                   0,            0.001733,            0.001733,            0.001733
                 156,            0.025942,           0.0018984,                   0,                   1,             0.99998,               0.995,             0.93264,           0.0065781,          0.00066902,                   0,           0.0017183,           0.0017183,           0.0017183
                 157,            0.024143,           0.0018989,                   0,             0.99999,                   1,               0.995,             0.95607,           0.0058884,          0.00065085,                   0,           0.0017036,           0.0017036,           0.0017036
                 158,            0.025922,           0.0018983,                   0,             0.99998,                   1,               0.995,             0.92509,           0.0066949,          0.00065435,                   0,           0.0016889,           0.0016889,           0.0016889
                 159,            0.026608,           0.0018424,                   0,                   1,             0.99998,               0.995,             0.93042,            0.006624,          0.00066736,                   0,           0.0016742,           0.0016742,           0.0016742
